time;vname;pose;bp0;bp1;bp2;bp3;bp4;bp5;bp6;bp7;bp8;bp9;bp10;bp11;bp12;bp13;bp14;bp15;bp16
3.92;videos/cuts_test/50wtf12.mp4;walk;(np.float64(441.75), np.float64(173.0));(np.float64(446.0), np.float64(168.38));(np.float64(437.5), np.float64(164.88));(np.float64(443.25), np.float64(169.5));(np.float64(416.5), np.float64(159.38));(np.float64(425.5), np.float64(199.38));(np.float64(381.0), np.float64(187.75));(np.float64(448.5), np.float64(229.0));(np.float64(329.0), np.float64(223.5));(np.float64(488.25), np.float64(243.25));(np.float64(319.5), np.float64(276.0));(np.float64(374.0), np.float64(272.5));(np.float64(348.0), np.float64(267.75));(np.float64(377.75), np.float64(342.5));(np.float64(374.25), np.float64(335.5));(np.float64(356.25), np.float64(405.25));(np.float64(357.5), np.float64(405.25))
3.96;videos/cuts_test/50wtf12.mp4;walk;(np.float64(442.25), np.float64(171.12));(np.float64(446.75), np.float64(166.5));(np.float64(437.75), np.float64(163.0));(np.float64(445.0), np.float64(168.5));(np.float64(416.5), np.float64(158.5));(np.float64(427.0), np.float64(198.25));(np.float64(382.0), np.float64(187.62));(np.float64(448.75), np.float64(228.25));(np.float64(330.0), np.float64(224.5));(np.float64(488.5), np.float64(243.0));(np.float64(322.0), np.float64(277.75));(np.float64(376.25), np.float64(271.25));(np.float64(350.0), np.float64(267.0));(np.float64(380.0), np.float64(340.5));(np.float64(378.0), np.float64(334.25));(np.float64(358.5), np.float64(406.0));(np.float64(359.0), np.float64(406.0))
4.0;videos/cuts_test/50wtf12.mp4;walk;(np.float64(442.75), np.float64(170.5));(np.float64(447.25), np.float64(165.75));(np.float64(438.0), np.float64(162.5));(np.float64(445.75), np.float64(167.62));(np.float64(417.0), np.float64(158.5));(np.float64(428.25), np.float64(197.5));(np.float64(383.0), np.float64(187.38));(np.float64(449.25), np.float64(227.5));(np.float64(331.75), np.float64(224.88));(np.float64(489.0), np.float64(243.0));(np.float64(327.0), np.float64(279.0));(np.float64(378.5), np.float64(271.0));(np.float64(352.5), np.float64(267.0));(np.float64(381.0), np.float64(341.0));(np.float64(380.0), np.float64(334.0));(np.float64(359.5), np.float64(405.0));(np.float64(362.0), np.float64(400.75))
4.05;videos/cuts_test/50wtf12.mp4;walk;(np.float64(444.0), np.float64(169.88));(np.float64(448.25), np.float64(165.25));(np.float64(439.0), np.float64(162.0));(np.float64(446.5), np.float64(167.5));(np.float64(418.25), np.float64(158.5));(np.float64(429.5), np.float64(197.5));(np.float64(384.25), np.float64(187.25));(np.float64(450.25), np.float64(227.0));(np.float64(334.0), np.float64(225.0));(np.float64(490.0), np.float64(242.75));(np.float64(331.0), np.float64(279.5));(np.float64(379.5), np.float64(273.0));(np.float64(355.25), np.float64(268.5));(np.float64(377.0), np.float64(345.5));(np.float64(382.5), np.float64(333.5));(np.float64(359.75), np.float64(414.5));(np.float64(369.0), np.float64(398.5))
4.09;videos/cuts_test/50wtf12.mp4;walk;(np.float64(445.5), np.float64(169.88));(np.float64(450.0), np.float64(165.5));(np.float64(440.5), np.float64(161.88));(np.float64(448.25), np.float64(167.88));(np.float64(419.75), np.float64(158.25));(np.float64(430.75), np.float64(197.75));(np.float64(386.25), np.float64(187.38));(np.float64(451.75), np.float64(226.75));(np.float64(336.0), np.float64(225.5));(np.float64(491.0), np.float64(243.0));(np.float64(335.25), np.float64(280.25));(np.float64(379.75), np.float64(274.0));(np.float64(357.0), np.float64(269.75));(np.float64(374.75), np.float64(347.0));(np.float64(383.0), np.float64(335.25));(np.float64(360.75), np.float64(422.5));(np.float64(380.25), np.float64(404.75))
4.13;videos/cuts_test/50wtf12.mp4;walk;(np.float64(447.0), np.float64(171.0));(np.float64(451.75), np.float64(166.5));(np.float64(442.5), np.float64(162.75));(np.float64(450.0), np.float64(168.38));(np.float64(421.5), np.float64(158.38));(np.float64(432.5), np.float64(198.25));(np.float64(388.0), np.float64(188.25));(np.float64(454.25), np.float64(226.5));(np.float64(338.5), np.float64(227.38));(np.float64(493.0), np.float64(242.75));(np.float64(339.75), np.float64(281.25));(np.float64(381.5), np.float64(275.5));(np.float64(360.25), np.float64(271.0));(np.float64(372.25), np.float64(349.5));(np.float64(389.0), np.float64(336.5));(np.float64(357.5), np.float64(424.5));(np.float64(392.75), np.float64(405.0))
4.17;videos/cuts_test/50wtf12.mp4;walk;(np.float64(450.0), np.float64(172.5));(np.float64(454.5), np.float64(167.25));(np.float64(445.5), np.float64(164.5));(np.float64(450.75), np.float64(167.88));(np.float64(424.75), np.float64(159.62));(np.float64(434.0), np.float64(198.25));(np.float64(389.0), np.float64(188.75));(np.float64(457.0), np.float64(227.0));(np.float64(341.5), np.float64(228.0));(np.float64(495.5), np.float64(242.75));(np.float64(344.5), np.float64(282.25));(np.float64(383.75), np.float64(276.75));(np.float64(362.75), np.float64(273.75));(np.float64(374.0), np.float64(350.0));(np.float64(391.0), np.float64(343.75));(np.float64(360.75), np.float64(424.5));(np.float64(402.75), np.float64(414.5))
4.21;videos/cuts_test/50wtf12.mp4;walk;(np.float64(452.25), np.float64(173.0));(np.float64(456.5), np.float64(168.0));(np.float64(447.5), np.float64(165.25));(np.float64(453.5), np.float64(169.25));(np.float64(427.0), np.float64(161.25));(np.float64(437.0), np.float64(198.62));(np.float64(391.75), np.float64(189.5));(np.float64(459.75), np.float64(226.88));(np.float64(344.0), np.float64(228.38));(np.float64(499.0), np.float64(242.62));(np.float64(347.25), np.float64(281.5));(np.float64(386.75), np.float64(279.0));(np.float64(366.0), np.float64(275.75));(np.float64(376.0), np.float64(353.0));(np.float64(393.25), np.float64(346.25));(np.float64(360.5), np.float64(424.75));(np.float64(404.5), np.float64(418.75))
4.25;videos/cuts_test/50wtf12.mp4;walk;(np.float64(454.75), np.float64(174.38));(np.float64(459.0), np.float64(169.12));(np.float64(450.0), np.float64(166.5));(np.float64(455.5), np.float64(170.0));(np.float64(429.0), np.float64(162.0));(np.float64(438.75), np.float64(199.0));(np.float64(394.5), np.float64(190.5));(np.float64(462.5), np.float64(226.5));(np.float64(346.5), np.float64(229.38));(np.float64(502.0), np.float64(242.12));(np.float64(350.0), np.float64(283.25));(np.float64(389.0), np.float64(279.0));(np.float64(368.75), np.float64(276.25));(np.float64(380.25), np.float64(354.5));(np.float64(393.5), np.float64(349.5));(np.float64(360.0), np.float64(425.0));(np.float64(404.5), np.float64(421.5))
4.3;videos/cuts_test/50wtf12.mp4;walk;(np.float64(457.0), np.float64(175.12));(np.float64(461.5), np.float64(170.0));(np.float64(452.25), np.float64(167.0));(np.float64(457.75), np.float64(170.5));(np.float64(431.25), np.float64(161.88));(np.float64(441.25), np.float64(199.25));(np.float64(397.0), np.float64(191.12));(np.float64(467.25), np.float64(225.75));(np.float64(349.5), np.float64(230.25));(np.float64(507.0), np.float64(241.5));(np.float64(353.0), np.float64(284.5));(np.float64(394.0), np.float64(282.0));(np.float64(372.25), np.float64(279.25));(np.float64(382.75), np.float64(357.25));(np.float64(392.75), np.float64(353.5));(np.float64(361.25), np.float64(426.0));(np.float64(404.75), np.float64(424.5))
4.34;videos/cuts_test/50wtf12.mp4;walk;(np.float64(459.0), np.float64(175.0));(np.float64(464.0), np.float64(170.5));(np.float64(454.75), np.float64(166.88));(np.float64(461.75), np.float64(171.75));(np.float64(434.0), np.float64(162.0));(np.float64(445.75), np.float64(199.38));(np.float64(402.25), np.float64(191.5));(np.float64(470.5), np.float64(225.25));(np.float64(352.75), np.float64(230.75));(np.float64(510.5), np.float64(242.5));(np.float64(355.25), np.float64(285.5));(np.float64(399.0), np.float64(283.0));(np.float64(373.5), np.float64(280.5));(np.float64(393.0), np.float64(356.5));(np.float64(395.75), np.float64(352.0));(np.float64(362.25), np.float64(421.5));(np.float64(405.25), np.float64(423.5))
4.38;videos/cuts_test/50wtf12.mp4;walk;(np.float64(461.5), np.float64(175.38));(np.float64(466.25), np.float64(170.75));(np.float64(457.0), np.float64(167.38));(np.float64(463.75), np.float64(171.88));(np.float64(436.5), np.float64(162.25));(np.float64(448.25), np.float64(200.0));(np.float64(404.5), np.float64(191.25));(np.float64(474.25), np.float64(225.88));(np.float64(354.5), np.float64(231.0));(np.float64(515.0), np.float64(242.75));(np.float64(358.0), np.float64(284.75));(np.float64(403.25), np.float64(283.75));(np.float64(375.0), np.float64(281.25));(np.float64(404.0), np.float64(355.5));(np.float64(398.0), np.float64(353.0));(np.float64(363.0), np.float64(416.0));(np.float64(406.75), np.float64(426.5))
4.42;videos/cuts_test/50wtf12.mp4;walk;(np.float64(463.25), np.float64(175.38));(np.float64(468.0), np.float64(170.75));(np.float64(459.0), np.float64(167.25));(np.float64(465.75), np.float64(172.0));(np.float64(438.25), np.float64(161.88));(np.float64(450.0), np.float64(199.38));(np.float64(406.0), np.float64(191.0));(np.float64(477.5), np.float64(225.0));(np.float64(356.5), np.float64(230.75));(np.float64(516.5), np.float64(241.12));(np.float64(359.75), np.float64(285.25));(np.float64(405.5), np.float64(283.0));(np.float64(376.75), np.float64(280.75));(np.float64(411.5), np.float64(354.75));(np.float64(400.0), np.float64(354.5));(np.float64(363.0), np.float64(409.0));(np.float64(405.25), np.float64(429.5))
4.46;videos/cuts_test/50wtf12.mp4;walk;(np.float64(465.25), np.float64(174.88));(np.float64(470.25), np.float64(170.12));(np.float64(460.25), np.float64(166.75));(np.float64(469.75), np.float64(171.62));(np.float64(439.5), np.float64(161.5));(np.float64(451.5), np.float64(199.75));(np.float64(406.5), np.float64(190.25));(np.float64(481.5), np.float64(224.75));(np.float64(356.75), np.float64(229.75));(np.float64(522.5), np.float64(241.0));(np.float64(361.0), np.float64(284.0));(np.float64(407.75), np.float64(282.5));(np.float64(376.75), np.float64(280.25));(np.float64(420.5), np.float64(350.5));(np.float64(399.25), np.float64(356.0));(np.float64(367.75), np.float64(400.0));(np.float64(402.25), np.float64(430.0))
4.5;videos/cuts_test/50wtf12.mp4;walk;(np.float64(467.5), np.float64(173.88));(np.float64(472.25), np.float64(169.25));(np.float64(462.25), np.float64(165.75));(np.float64(472.0), np.float64(171.25));(np.float64(441.75), np.float64(161.0));(np.float64(453.5), np.float64(199.25));(np.float64(408.5), np.float64(189.75));(np.float64(484.5), np.float64(223.75));(np.float64(358.5), np.float64(228.0));(np.float64(526.0), np.float64(240.25));(np.float64(362.25), np.float64(282.0));(np.float64(410.0), np.float64(282.25));(np.float64(378.0), np.float64(281.0));(np.float64(427.5), np.float64(347.0));(np.float64(399.25), np.float64(359.0));(np.float64(370.25), np.float64(390.25));(np.float64(402.25), np.float64(431.0))
4.55;videos/cuts_test/50wtf12.mp4;walk;(np.float64(469.25), np.float64(173.25));(np.float64(474.0), np.float64(168.5));(np.float64(464.0), np.float64(165.0));(np.float64(474.0), np.float64(170.5));(np.float64(443.5), np.float64(160.5));(np.float64(455.25), np.float64(198.5));(np.float64(410.0), np.float64(189.25));(np.float64(487.0), np.float64(222.5));(np.float64(360.0), np.float64(226.75));(np.float64(528.5), np.float64(238.25));(np.float64(364.0), np.float64(281.0));(np.float64(412.5), np.float64(281.75));(np.float64(379.75), np.float64(281.0));(np.float64(432.5), np.float64(343.0));(np.float64(400.0), np.float64(360.0));(np.float64(374.0), np.float64(382.5));(np.float64(403.75), np.float64(430.5))
4.59;videos/cuts_test/50wtf12.mp4;walk;(np.float64(471.5), np.float64(173.62));(np.float64(476.5), np.float64(169.25));(np.float64(466.75), np.float64(165.25));(np.float64(476.0), np.float64(171.0));(np.float64(445.75), np.float64(159.25));(np.float64(457.5), np.float64(198.12));(np.float64(411.25), np.float64(188.62));(np.float64(489.5), np.float64(221.0));(np.float64(361.0), np.float64(225.12));(np.float64(532.5), np.float64(236.12));(np.float64(364.25), np.float64(279.25));(np.float64(414.0), np.float64(279.75));(np.float64(381.5), np.float64(279.5));(np.float64(436.25), np.float64(340.25));(np.float64(401.0), np.float64(360.0));(np.float64(377.5), np.float64(381.0));(np.float64(406.0), np.float64(429.5))
4.63;videos/cuts_test/50wtf12.mp4;walk;(np.float64(474.0), np.float64(173.12));(np.float64(479.5), np.float64(168.75));(np.float64(469.25), np.float64(164.62));(np.float64(479.5), np.float64(171.0));(np.float64(448.25), np.float64(159.0));(np.float64(460.5), np.float64(198.0));(np.float64(413.5), np.float64(188.0));(np.float64(493.0), np.float64(219.38));(np.float64(362.5), np.float64(223.62));(np.float64(536.0), np.float64(234.25));(np.float64(365.5), np.float64(278.0));(np.float64(415.75), np.float64(279.5));(np.float64(382.75), np.float64(279.5));(np.float64(438.0), np.float64(338.75));(np.float64(401.25), np.float64(362.0));(np.float64(382.75), np.float64(379.5));(np.float64(407.5), np.float64(430.5))
4.67;videos/cuts_test/50wtf12.mp4;walk;(np.float64(476.75), np.float64(172.5));(np.float64(482.0), np.float64(168.0));(np.float64(472.0), np.float64(163.88));(np.float64(481.5), np.float64(170.12));(np.float64(451.25), np.float64(158.25));(np.float64(464.0), np.float64(197.5));(np.float64(416.5), np.float64(186.5));(np.float64(498.5), np.float64(217.12));(np.float64(364.0), np.float64(220.88));(np.float64(540.5), np.float64(232.0));(np.float64(364.75), np.float64(276.0));(np.float64(417.0), np.float64(277.5));(np.float64(384.75), np.float64(277.25));(np.float64(440.0), np.float64(335.0));(np.float64(399.75), np.float64(358.5));(np.float64(402.75), np.float64(378.5));(np.float64(403.25), np.float64(429.25))
4.71;videos/cuts_test/50wtf12.mp4;walk;(np.float64(480.0), np.float64(172.5));(np.float64(485.0), np.float64(167.5));(np.float64(475.0), np.float64(163.75));(np.float64(484.5), np.float64(168.5));(np.float64(454.0), np.float64(157.0));(np.float64(467.0), np.float64(195.5));(np.float64(419.0), np.float64(185.0));(np.float64(500.25), np.float64(214.25));(np.float64(366.25), np.float64(218.38));(np.float64(542.0), np.float64(228.25));(np.float64(364.75), np.float64(274.0));(np.float64(419.5), np.float64(275.25));(np.float64(386.25), np.float64(274.75));(np.float64(442.0), np.float64(334.0));(np.float64(400.25), np.float64(354.5));(np.float64(412.5), np.float64(388.0));(np.float64(403.0), np.float64(426.0))
4.75;videos/cuts_test/50wtf12.mp4;walk;(np.float64(482.5), np.float64(171.25));(np.float64(487.5), np.float64(166.25));(np.float64(477.5), np.float64(162.5));(np.float64(487.5), np.float64(167.12));(np.float64(456.5), np.float64(156.25));(np.float64(470.25), np.float64(194.0));(np.float64(421.5), np.float64(183.88));(np.float64(501.0), np.float64(211.25));(np.float64(368.25), np.float64(216.5));(np.float64(542.5), np.float64(224.25));(np.float64(365.0), np.float64(272.5));(np.float64(421.75), np.float64(275.0));(np.float64(388.25), np.float64(274.0));(np.float64(444.75), np.float64(334.5));(np.float64(400.5), np.float64(352.25));(np.float64(424.5), np.float64(404.0));(np.float64(404.25), np.float64(425.0))
4.8;videos/cuts_test/50wtf12.mp4;walk;(np.float64(485.0), np.float64(169.75));(np.float64(490.25), np.float64(164.75));(np.float64(480.0), np.float64(160.88));(np.float64(490.0), np.float64(166.12));(np.float64(459.5), np.float64(155.0));(np.float64(474.0), np.float64(192.75));(np.float64(423.75), np.float64(182.0));(np.float64(505.75), np.float64(210.0));(np.float64(370.5), np.float64(215.0));(np.float64(546.0), np.float64(223.25));(np.float64(365.0), np.float64(270.5));(np.float64(425.25), np.float64(273.5));(np.float64(390.75), np.float64(271.5));(np.float64(444.0), np.float64(340.5));(np.float64(402.0), np.float64(350.25));(np.float64(434.75), np.float64(415.5));(np.float64(405.5), np.float64(424.5))
4.84;videos/cuts_test/50wtf12.mp4;walk;(np.float64(488.0), np.float64(167.5));(np.float64(492.75), np.float64(162.38));(np.float64(483.0), np.float64(159.12));(np.float64(489.5), np.float64(162.88));(np.float64(462.5), np.float64(152.75));(np.float64(476.25), np.float64(190.5));(np.float64(427.0), np.float64(180.25));(np.float64(510.25), np.float64(207.75));(np.float64(374.5), np.float64(211.62));(np.float64(551.5), np.float64(221.88));(np.float64(366.0), np.float64(267.25));(np.float64(430.0), np.float64(274.5));(np.float64(397.0), np.float64(272.25));(np.float64(443.0), np.float64(345.5));(np.float64(405.0), np.float64(349.5));(np.float64(435.5), np.float64(418.25));(np.float64(407.0), np.float64(424.5))
4.88;videos/cuts_test/50wtf12.mp4;walk;(np.float64(490.25), np.float64(164.38));(np.float64(495.25), np.float64(159.25));(np.float64(485.0), np.float64(156.0));(np.float64(493.0), np.float64(160.62));(np.float64(464.5), np.float64(150.5));(np.float64(481.0), np.float64(189.62));(np.float64(429.75), np.float64(178.75));(np.float64(515.5), np.float64(207.5));(np.float64(377.5), np.float64(209.38));(np.float64(556.5), np.float64(220.38));(np.float64(368.0), np.float64(264.0));(np.float64(435.25), np.float64(277.5));(np.float64(401.5), np.float64(274.25));(np.float64(441.75), np.float64(350.25));(np.float64(406.25), np.float64(350.5));(np.float64(435.0), np.float64(421.0));(np.float64(406.75), np.float64(423.5))
4.92;videos/cuts_test/50wtf12.mp4;walk;(np.float64(492.0), np.float64(160.5));(np.float64(497.5), np.float64(155.12));(np.float64(486.5), np.float64(151.62));(np.float64(496.75), np.float64(157.25));(np.float64(466.25), np.float64(147.5));(np.float64(484.25), np.float64(188.38));(np.float64(433.25), np.float64(177.0));(np.float64(520.0), np.float64(206.75));(np.float64(379.5), np.float64(206.62));(np.float64(560.5), np.float64(219.12));(np.float64(370.5), np.float64(260.75));(np.float64(438.0), np.float64(278.25));(np.float64(405.0), np.float64(274.25));(np.float64(441.0), np.float64(351.75));(np.float64(408.0), np.float64(350.75));(np.float64(434.5), np.float64(423.0));(np.float64(407.75), np.float64(422.5))
4.96;videos/cuts_test/50wtf12.mp4;walk;(np.float64(493.0), np.float64(156.75));(np.float64(498.5), np.float64(152.0));(np.float64(487.25), np.float64(148.38));(np.float64(500.0), np.float64(155.5));(np.float64(468.0), np.float64(146.12));(np.float64(489.25), np.float64(188.38));(np.float64(436.0), np.float64(176.38));(np.float64(523.5), np.float64(207.0));(np.float64(381.25), np.float64(205.75));(np.float64(565.5), np.float64(219.62));(np.float64(374.5), np.float64(259.0));(np.float64(442.75), np.float64(278.5));(np.float64(408.0), np.float64(273.5));(np.float64(443.0), np.float64(352.0));(np.float64(410.5), np.float64(348.75));(np.float64(435.5), np.float64(423.25));(np.float64(408.25), np.float64(418.0))
5.0;videos/cuts_test/50wtf12.mp4;walk;(np.float64(495.0), np.float64(155.0));(np.float64(500.75), np.float64(150.25));(np.float64(489.0), np.float64(146.5));(np.float64(502.5), np.float64(154.5));(np.float64(469.5), np.float64(144.5));(np.float64(491.5), np.float64(187.75));(np.float64(437.5), np.float64(174.25));(np.float64(530.5), np.float64(205.0));(np.float64(386.25), np.float64(201.75));(np.float64(570.0), np.float64(218.38));(np.float64(378.0), np.float64(256.25));(np.float64(446.25), np.float64(278.5));(np.float64(411.25), np.float64(273.25));(np.float64(443.75), np.float64(353.0));(np.float64(415.5), np.float64(349.25));(np.float64(438.25), np.float64(422.0));(np.float64(412.5), np.float64(406.5))
5.05;videos/cuts_test/50wtf12.mp4;walk;(np.float64(496.0), np.float64(154.0));(np.float64(502.75), np.float64(149.5));(np.float64(490.0), np.float64(145.38));(np.float64(506.25), np.float64(154.25));(np.float64(472.25), np.float64(143.5));(np.float64(496.75), np.float64(188.5));(np.float64(440.75), np.float64(175.0));(np.float64(533.0), np.float64(206.75));(np.float64(386.25), np.float64(201.5));(np.float64(575.0), np.float64(219.25));(np.float64(381.5), np.float64(254.5));(np.float64(451.5), np.float64(279.0));(np.float64(414.75), np.float64(272.5));(np.float64(448.0), np.float64(352.75));(np.float64(418.25), np.float64(344.75));(np.float64(438.0), np.float64(423.0));(np.float64(417.75), np.float64(399.0))
5.09;videos/cuts_test/50wtf12.mp4;walk;(np.float64(498.75), np.float64(152.25));(np.float64(505.0), np.float64(147.75));(np.float64(493.0), np.float64(143.88));(np.float64(508.0), np.float64(153.25));(np.float64(474.5), np.float64(142.62));(np.float64(499.0), np.float64(187.38));(np.float64(441.75), np.float64(173.25));(np.float64(538.0), np.float64(204.75));(np.float64(390.5), np.float64(198.38));(np.float64(578.5), np.float64(218.12));(np.float64(383.25), np.float64(252.25));(np.float64(453.5), np.float64(277.0));(np.float64(417.25), np.float64(271.5));(np.float64(449.75), np.float64(352.0));(np.float64(422.5), np.float64(348.5));(np.float64(437.75), np.float64(422.5));(np.float64(425.0), np.float64(392.0))
5.13;videos/cuts_test/50wtf12.mp4;walk;(np.float64(499.5), np.float64(149.88));(np.float64(506.5), np.float64(145.88));(np.float64(494.25), np.float64(141.62));(np.float64(511.0), np.float64(152.75));(np.float64(477.5), np.float64(141.5));(np.float64(503.25), np.float64(187.12));(np.float64(445.0), np.float64(172.75));(np.float64(542.0), np.float64(205.25));(np.float64(393.0), np.float64(197.12));(np.float64(584.0), np.float64(219.12));(np.float64(385.5), np.float64(250.0));(np.float64(457.0), np.float64(276.25));(np.float64(421.5), np.float64(270.25));(np.float64(451.0), np.float64(350.75));(np.float64(430.0), np.float64(344.25));(np.float64(431.75), np.float64(413.0));(np.float64(442.25), np.float64(407.75))
5.17;videos/cuts_test/50wtf12.mp4;walk;(np.float64(501.5), np.float64(148.75));(np.float64(509.0), np.float64(144.88));(np.float64(496.75), np.float64(140.5));(np.float64(513.5), np.float64(152.38));(np.float64(481.5), np.float64(140.5));(np.float64(507.0), np.float64(186.75));(np.float64(448.5), np.float64(172.25));(np.float64(546.0), np.float64(206.12));(np.float64(396.25), np.float64(196.38));(np.float64(587.5), np.float64(220.0));(np.float64(388.5), np.float64(248.88));(np.float64(461.0), np.float64(276.0));(np.float64(426.0), np.float64(269.25));(np.float64(454.75), np.float64(348.75));(np.float64(435.5), np.float64(339.75));(np.float64(439.75), np.float64(415.0));(np.float64(442.25), np.float64(405.0))
5.21;videos/cuts_test/50wtf12.mp4;walk;(np.float64(503.5), np.float64(146.0));(np.float64(511.75), np.float64(142.75));(np.float64(499.0), np.float64(137.75));(np.float64(518.0), np.float64(152.0));(np.float64(486.25), np.float64(139.88));(np.float64(512.0), np.float64(188.0));(np.float64(453.75), np.float64(171.62));(np.float64(550.5), np.float64(208.25));(np.float64(401.0), np.float64(196.75));(np.float64(591.0), np.float64(221.38));(np.float64(391.75), np.float64(248.5));(np.float64(465.25), np.float64(274.5));(np.float64(431.75), np.float64(268.75));(np.float64(455.0), np.float64(348.0));(np.float64(440.5), np.float64(344.5));(np.float64(444.5), np.float64(409.0));(np.float64(444.5), np.float64(410.5))
5.26;videos/cuts_test/50wtf12.mp4;walk;(np.float64(506.5), np.float64(144.75));(np.float64(515.0), np.float64(141.25));(np.float64(502.5), np.float64(136.75));(np.float64(523.0), np.float64(151.0));(np.float64(491.25), np.float64(140.12));(np.float64(517.0), np.float64(188.38));(np.float64(458.5), np.float64(171.5));(np.float64(555.5), np.float64(209.5));(np.float64(407.0), np.float64(197.12));(np.float64(598.0), np.float64(224.5));(np.float64(395.5), np.float64(247.5));(np.float64(470.0), np.float64(276.5));(np.float64(435.5), np.float64(270.5));(np.float64(457.5), np.float64(353.25));(np.float64(445.5), np.float64(347.0));(np.float64(437.5), np.float64(423.75));(np.float64(461.0), np.float64(418.0))
5.3;videos/cuts_test/50wtf12.mp4;walk;(np.float64(510.75), np.float64(143.75));(np.float64(520.0), np.float64(140.5));(np.float64(506.75), np.float64(135.75));(np.float64(528.0), np.float64(150.75));(np.float64(496.0), np.float64(139.5));(np.float64(521.5), np.float64(189.25));(np.float64(464.0), np.float64(172.0));(np.float64(560.0), np.float64(211.12));(np.float64(412.0), np.float64(196.5));(np.float64(603.0), np.float64(227.62));(np.float64(399.75), np.float64(247.5));(np.float64(473.5), np.float64(278.5));(np.float64(440.5), np.float64(272.75));(np.float64(459.0), np.float64(355.5));(np.float64(451.5), np.float64(352.5));(np.float64(437.5), np.float64(426.5));(np.float64(467.75), np.float64(421.25))
5.34;videos/cuts_test/50wtf12.mp4;walk;(np.float64(514.5), np.float64(143.38));(np.float64(523.5), np.float64(140.25));(np.float64(510.75), np.float64(135.75));(np.float64(533.0), np.float64(150.75));(np.float64(501.25), np.float64(140.38));(np.float64(528.0), np.float64(190.38));(np.float64(469.75), np.float64(172.75));(np.float64(565.0), np.float64(211.38));(np.float64(418.75), np.float64(196.88));(np.float64(608.0), np.float64(230.0));(np.float64(406.0), np.float64(248.0));(np.float64(480.5), np.float64(281.0));(np.float64(447.25), np.float64(275.0));(np.float64(461.25), np.float64(358.0));(np.float64(455.5), np.float64(352.75));(np.float64(437.5), np.float64(425.75));(np.float64(467.75), np.float64(423.25))
5.38;videos/cuts_test/50wtf12.mp4;walk;(np.float64(520.0), np.float64(143.0));(np.float64(529.0), np.float64(139.88));(np.float64(516.0), np.float64(135.75));(np.float64(539.0), np.float64(151.0));(np.float64(506.5), np.float64(141.38));(np.float64(535.0), np.float64(192.0));(np.float64(475.0), np.float64(174.25));(np.float64(572.0), np.float64(213.0));(np.float64(424.0), np.float64(199.5));(np.float64(612.5), np.float64(231.88));(np.float64(411.25), np.float64(249.12));(np.float64(485.25), np.float64(281.0));(np.float64(450.75), np.float64(274.5));(np.float64(465.75), np.float64(358.75));(np.float64(461.0), np.float64(352.5));(np.float64(437.5), np.float64(426.0));(np.float64(469.0), np.float64(424.5))
5.42;videos/cuts_test/50wtf12.mp4;walk;(np.float64(525.0), np.float64(142.5));(np.float64(534.5), np.float64(139.25));(np.float64(521.5), np.float64(135.25));(np.float64(545.5), np.float64(150.5));(np.float64(512.0), np.float64(141.75));(np.float64(542.5), np.float64(193.38));(np.float64(480.0), np.float64(175.75));(np.float64(580.0), np.float64(215.38));(np.float64(428.25), np.float64(202.5));(np.float64(620.0), np.float64(234.75));(np.float64(417.0), np.float64(251.5));(np.float64(491.25), np.float64(282.0));(np.float64(456.25), np.float64(275.0));(np.float64(467.0), np.float64(358.5));(np.float64(462.0), np.float64(354.0));(np.float64(436.5), np.float64(425.0));(np.float64(469.75), np.float64(424.5))
5.46;videos/cuts_test/50wtf12.mp4;walk;(np.float64(530.0), np.float64(142.75));(np.float64(540.0), np.float64(139.5));(np.float64(526.0), np.float64(135.25));(np.float64(552.0), np.float64(151.62));(np.float64(517.5), np.float64(142.12));(np.float64(549.5), np.float64(194.0));(np.float64(487.75), np.float64(177.75));(np.float64(588.0), np.float64(216.88));(np.float64(436.25), np.float64(205.25));(np.float64(628.5), np.float64(238.0));(np.float64(423.75), np.float64(254.12));(np.float64(496.0), np.float64(286.0));(np.float64(462.75), np.float64(278.25));(np.float64(466.75), np.float64(360.25));(np.float64(462.5), np.float64(355.75));(np.float64(437.0), np.float64(425.5));(np.float64(469.5), np.float64(426.5))
5.51;videos/cuts_test/50wtf12.mp4;fall;(np.float64(536.5), np.float64(143.75));(np.float64(547.0), np.float64(140.0));(np.float64(533.0), np.float64(136.75));(np.float64(560.0), np.float64(151.5));(np.float64(525.5), np.float64(142.38));(np.float64(559.5), np.float64(195.75));(np.float64(496.25), np.float64(179.75));(np.float64(597.5), np.float64(222.12));(np.float64(443.25), np.float64(208.0));(np.float64(636.5), np.float64(243.0));(np.float64(430.0), np.float64(256.25));(np.float64(503.5), np.float64(288.25));(np.float64(468.75), np.float64(279.25));(np.float64(469.5), np.float64(360.0));(np.float64(465.25), np.float64(356.25));(np.float64(443.0), np.float64(424.25));(np.float64(470.5), np.float64(423.25))
